time,L_X,L_Y,L_P,L_V,R_X,R_Y,R_P,R_V,Event
557196129.926,971.0895538330078,421.3970947265625,2.30218505859375,True,984.5180511474609,389.29800510406494,2.591583251953125,True,
557196146.613,953.6014366149902,385.28653621673584,2.2313995361328125,True,994.4863128662109,413.8360333442688,2.51898193359375,True,
557196163.278,958.3826637268066,361.15933656692505,2.3603515625,True,998.7831115722656,397.27317810058594,2.5778045654296875,True,
557196179.947,971.0442352294922,395.98095417022705,2.2201690673828125,True,1003.1988143920898,418.2789945602417,2.4708099365234375,True,
557196196.623,965.3767776489258,404.14280891418457,2.174560546875,True,998.6808013916016,436.5009355545044,2.446929931640625,True,
557196213.304,963.0690765380859,399.7848844528198,2.2400054931640625,True,994.789924621582,402.20370054244995,2.5508880615234375,True,
557196229.919,962.0578765869141,415.85721731185913,2.19183349609375,True,1003.1715774536133,416.291606426239,2.4608917236328125,True,
557196246.625,950.8252143859863,389.4284248352051,2.3064422607421875,True,995.9307861328125,406.3348388671875,2.5016937255859375,True,
557196263.296,958.9768981933594,417.30226278305054,2.108856201171875,True,989.945068359375,396.7393970489502,2.494140625,True,
557196279.969,924.3510246276855,392.40805864334106,2.2283477783203125,True,985.8565521240234,426.2975549697876,2.501495361328125,True,
557196296.626,948.5803413391113,453.959219455719,2.4897918701171875,True,983.6882400512695,426.3589668273926,2.493438720703125,True,
557196313.308,937.2936058044434,426.01553678512573,2.2097015380859375,True,974.0091705322266,424.5204734802246,2.497467041015625,True,
557196329.978,915.8940696716309,398.7554955482483,2.264312744140625,True,950.7252502441406,413.7956714630127,2.6243133544921875,True,
557196346.636,932.9675102233887,384.50594902038574,2.23333740234375,True,984.8446655273438,457.30314016342163,2.5103759765625,True,
557196363.308,928.8693237304688,396.8391752243042,2.299835205078125,True,983.6685562133789,408.9707851409912,2.511871337890625,True,
557196379.989,946.6034889221191,416.3749051094055,2.299652099609375,True,977.2487640380859,425.2784013748169,2.5389862060546875,True,
557196396.644,965.5669784545898,402.95100688934326,2.258209228515625,True,992.2532272338867,431.6844177246094,2.412567138671875,True,
557196413.325,950.8325386047363,422.0791268348694,2.259674072265625,True,990.4975891113281,442.99179553985596,2.459716796875,True,
557196429.999,961.9118499755859,390.17791986465454,2.341278076171875,True,986.7585754394531,424.215087890625,2.3804931640625,True,
557196446.63,936.7746162414551,417.63745307922363,2.219146728515625,True,978.6765289306641,436.2867021560669,2.4560699462890625,True,
557196463.305,928.762092590332,403.9457631111145,2.18853759765625,True,961.2265777587891,380.7736659049988,2.593109130859375,True,
557196479.986,908.7821960449219,373.0031991004944,2.273162841796875,True,965.4884719848633,407.3194885253906,2.50921630859375,True,
557196496.653,938.4638786315918,373.10091733932495,2.2342376708984375,True,973.8018035888672,417.3298144340515,2.484375,True,
557196513.326,940.4628753662109,427.7594017982483,2.2284088134765625,True,968.9109420776367,404.2947292327881,2.5124053955078125,True,
557196529.999,944.8013877868652,408.41466665267944,2.20855712890625,True,963.7221908569336,399.7044825553894,2.52154541015625,True,
557196546.671,963.9616012573242,427.6636791229248,2.029571533203125,True,988.6785507202148,415.6438207626343,2.4244842529296875,True,
557196563.338,930.0732421875,415.1593494415283,2.032318115234375,True,970.5414962768555,398.88559341430664,2.5200958251953125,True,
557196580.019,949.1544914245605,417.834370136261,2.2467041015625,True,957.3989295959473,398.46498012542725,2.5483856201171875,True,
557196596.691,958.0668067932129,443.1907081604004,2.180694580078125,True,960.3655242919922,400.36720275878906,2.5917205810546875,True,
557196613.358,,,,False,973.2871627807617,412.3392963409424,2.497833251953125,True,
557196630.04,939.0167427062988,390.94608306884766,2.2142486572265625,True,968.9943695068359,414.96307611465454,2.41375732421875,True,
557196646.705,936.7098426818848,401.9979000091553,2.156494140625,True,979.2990875244141,430.00505447387695,2.4833984375,True,
557196663.381,953.6746215820312,443.49660873413086,2.076507568359375,True,981.2388610839844,438.65710973739624,2.4137725830078125,True,
557196680.057,958.2650184631348,410.55185079574585,2.1136474609375,True,969.9493789672852,444.8862290382385,2.57635498046875,True,
557196696.732,910.1283645629883,412.14978218078613,2.273406982421875,True,967.5597381591797,428.62637758255005,2.4491424560546875,True,
557196713.401,950.094051361084,427.471718788147,2.1835479736328125,True,996.2315368652344,429.49946880340576,2.418426513671875,True,
557196730.074,951.8279457092285,415.69634914398193,2.1605072021484375,True,974.5755386352539,425.6789302825928,2.485504150390625,True,
557196746.751,939.052848815918,407.5038528442383,2.1785125732421875,True,959.4404411315918,408.9590048789978,2.510009765625,True,
557196763.417,962.0278930664062,422.5532341003418,2.2003326416015625,True,983.7262344360352,431.38340950012207,2.4423675537109375,True,
557196780.092,934.0012550354004,372.3470449447632,2.176422119140625,True,972.571907043457,428.9768886566162,2.4617156982421875,True,
557196796.765,939.9220275878906,397.40018606185913,2.1671142578125,True,963.464469909668,418.9148712158203,2.5425872802734375,True,
557196813.442,947.3564529418945,398.31531286239624,2.2026214599609375,True,972.6401138305664,390.725154876709,2.475860595703125,True,
557196830.113,965.6208801269531,415.5497717857361,2.1154937744140625,True,960.4496383666992,442.5444030761719,2.5779876708984375,True,
557196846.781,,,,False,982.5636291503906,431.2962484359741,2.3763427734375,True,
557196863.46,947.5764656066895,420.6848073005676,2.1402740478515625,True,972.3759841918945,426.1817479133606,2.428863525390625,True,
557196880.133,934.3529891967773,394.04152393341064,2.2364959716796875,True,979.2305374145508,441.7657470703125,2.49310302734375,True,
557196896.807,955.8018493652344,413.63499641418457,2.058135986328125,True,968.0504608154297,426.6521215438843,2.487640380859375,True,
557196913.478,,,,False,975.4214859008789,429.57555770874023,2.46807861328125,True,
557196930.15,947.351131439209,435.0419855117798,2.0555419921875,True,963.4207534790039,404.69133138656616,2.5404205322265625,True,
557196946.557,952.602367401123,421.16477251052856,2.1041259765625,True,979.4962692260742,391.86893463134766,2.487823486328125,True,
557196963.219,,,,False,984.9480056762695,401.6293001174927,2.472686767578125,True,
557196979.888,935.079345703125,427.8413486480713,2.1749114990234375,True,1003.6280822753906,433.275203704834,2.42425537109375,True,
557196996.557,955.1686477661133,442.6176595687866,2.0110015869140625,True,962.2169494628906,403.03617238998413,2.476593017578125,True,
557197013.272,925.019588470459,415.891592502594,2.2016754150390625,True,979.1701126098633,430.96949100494385,2.5498046875,True,
557197029.886,959.6396827697754,392.8490138053894,2.2179412841796875,True,995.6781005859375,443.04773569107056,2.4717254638671875,True,
557197046.55,,,,False,966.9786071777344,425.6095361709595,2.4581451416015625,True,
557197063.228,958.7297058105469,444.50758695602417,2.126922607421875,True,983.0037689208984,427.1200489997864,2.3749237060546875,True,
557197079.887,933.9743041992188,421.2664818763733,2.180389404296875,True,962.9616165161133,402.85122871398926,2.4365997314453125,True,
557197096.555,949.7014045715332,413.06535959243774,2.2109832763671875,True,973.806037902832,415.63268423080444,2.4166412353515625,True,
557197113.227,925.3781890869141,377.2019290924072,2.2264251708984375,True,983.2464981079102,426.6300415992737,2.4363250732421875,True,
557197129.882,923.854808807373,436.26558780670166,2.1465606689453125,True,964.369010925293,411.56797885894775,2.4767303466796875,True,
557197146.554,958.3992576599121,448.388249874115,2.227813720703125,True,976.6289520263672,416.99668407440186,2.4642486572265625,True,
557197163.214,956.264591217041,417.3620009422302,2.092193603515625,True,985.6228637695312,421.13123416900635,2.4743804931640625,True,
557197179.886,923.2314491271973,440.2325105667114,2.21905517578125,True,965.4257583618164,407.9703640937805,2.49346923828125,True,
557197196.553,917.156867980957,401.7064833641052,2.1806793212890625,True,986.0500717163086,419.3614912033081,2.3665313720703125,True,
557197213.223,925.5708503723145,405.4042625427246,2.172027587890625,True,984.0362548828125,424.50483083724976,2.42987060546875,True,
557197229.844,946.9583129882812,420.0124955177307,2.1113739013671875,True,970.7123565673828,409.77461099624634,2.452606201171875,True,
557197246.548,951.7951011657715,399.1623330116272,2.23895263671875,True,970.9101104736328,414.5103406906128,2.5079803466796875,True,
557197263.25,919.7420883178711,385.230016708374,2.242462158203125,True,971.3307952880859,411.9141125679016,2.346405029296875,True,
557197279.886,962.047119140625,395.957715511322,2.167449951171875,True,968.7757873535156,413.3538794517517,2.5539093017578125,True,
557197296.549,955.8775520324707,451.95651054382324,1.9967803955078125,True,973.7154006958008,410.2314019203186,2.4601287841796875,True,
